policy_text,label
This legislation strengthens citizen access to government information and accountability mechanisms in Madhya Pradesh under the Right to Information Act.,High Impact
The Public Office Infrastructure Maintenance Policy regulates administrative procedures and operational guidelines for departments in Andhra Pradesh.,Low Impact
The Public Procurement Transparency Bill mandates public disclosure of government records and improves transparency in Odisha.,High Impact
"Under the Government Accountability and Transparency Act, all government departments must release public data to citizens in Odisha.",High Impact
The Lokpal and Lokayuktas Act introduces digital portals for public monitoring of government spending in Maharashtra.,High Impact
The Digital Personal Data Protection Act introduces digital portals for public monitoring of government spending in Karnataka.,High Impact
This policy revises standard office procedures and departmental management guidelines in Gujarat.,Low Impact
The Motor Vehicles Act amendment on vehicle registration regulates administrative procedures and operational guidelines for departments in Telangana.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Gujarat.,Low Impact
"Under the Public Records Access Reform Act, all government departments must release public data to citizens in Madhya Pradesh.",High Impact
The Government Office Attendance Rule Update modifies internal administrative processes and documentation standards in Gujarat.,Low Impact
"Under the Government Accountability and Transparency Act, all government departments must release public data to citizens in Telangana.",High Impact
The Urban Traffic Management Amendment regulates administrative procedures and operational guidelines for departments in Telangana.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Rajasthan under the Public Records Access Reform Act.,High Impact
"Under the Government Accountability and Transparency Act, all government departments must release public data to citizens in Rajasthan.",High Impact
