policy_text,policy_area,ministry,year,public_sentiment,impact_label
A comprehensive reform significantly improves public access to education services.,education,Ministry of Social Justice and Empowerment,2014,Positive,High Impact
A comprehensive reform significantly improves public access to environment services.,environment,Ministry of Labour and Employment,2007,Neutral,High Impact
The central government introduces a large-scale initiative to modernize employment.,employment,Ministry of Home Affairs,2010,Positive,High Impact
Major legislation expands funding and infrastructure for agriculture development.,agriculture,Ministry of Road Transport and Highways,2023,Neutral,High Impact
Small procedural adjustments were made in the management of transport programs.,transport,Ministry of Health and Family Welfare,2011,Negative,Low Impact
Minor administrative changes were introduced in local education department procedures.,education,Ministry of Social Justice and Empowerment,2019,Neutral,Low Impact
Small procedural adjustments were made in the management of public safety programs.,public safety,Ministry of Social Justice and Empowerment,2017,Neutral,Low Impact
Small procedural adjustments were made in the management of digital governance programs.,digital governance,Ministry of Labour and Employment,2007,Negative,Low Impact
Major legislation expands funding and infrastructure for health development.,health,"Ministry of Environment, Forest and Climate Change",2021,Neutral,High Impact
Major legislation expands funding and infrastructure for public safety development.,public safety,Ministry of Housing and Urban Affairs,2020,Positive,High Impact
Local authorities revised guidelines for handling social welfare records.,social welfare,Ministry of Labour and Employment,2009,Negative,Low Impact
The government launches a nationwide health reform program affecting millions of citizens.,health,Ministry of Labour and Employment,2005,Neutral,High Impact
A routine regulation modifies internal operations in the transport sector.,transport,Ministry of Housing and Urban Affairs,2015,Negative,Low Impact
Major legislation expands funding and infrastructure for health development.,health,Ministry of Home Affairs,2008,Neutral,High Impact
The policy updates documentation rules related to agriculture offices.,agriculture,Ministry of Agriculture and Farmers Welfare,2018,Negative,Low Impact
Major legislation expands funding and infrastructure for environment development.,environment,Ministry of Labour and Employment,2018,Neutral,High Impact
Local authorities revised guidelines for handling agriculture records.,agriculture,Ministry of Road Transport and Highways,2022,Neutral,Low Impact
Local authorities revised guidelines for handling public safety records.,public safety,Ministry of Health and Family Welfare,2010,Negative,Low Impact
A new national policy improves access to digital governance services across multiple states.,digital governance,Ministry of Social Justice and Empowerment,2016,Neutral,High Impact
The government launches a nationwide digital governance reform program affecting millions of citizens.,digital governance,Ministry of Health and Family Welfare,2008,Neutral,High Impact
The government launches a nationwide employment reform program affecting millions of citizens.,employment,"Ministry of Environment, Forest and Climate Change",2008,Neutral,High Impact
The central government introduces a large-scale initiative to modernize digital governance.,digital governance,Ministry of Education,2023,Neutral,High Impact
Major legislation expands funding and infrastructure for health development.,health,Ministry of Road Transport and Highways,2022,Neutral,High Impact
